OID,Id,DealId,Code,AssetPairId,Direction,Volume,AccountId,TradingConditionId,AccountAssetId,ExpectedOpenPrice,OpenMatchingEngineId,OpenDate,OpenTradeId,OpenPrice,OpenFxPrice,EquivalentAsset,OpenPriceEquivalent,RelatedOrders,LegalEntity,OpenOriginator,ExternalProviderId,SwapCommissionRate,OpenCommissionRate,CloseCommissionRate,CommissionLot,CloseMatchingEngineId,ClosePrice,CloseFxPrice,ClosePriceEquivalent,StartClosingDate,CloseDate,CloseOriginator,CloseReason,CloseComment,CloseTrades,LastModified,TotalPnL,ChargedPnl,HistoryType,DealInfo,HistoryTimestamp,OpenOrderType,OpenOrderVolume,FxAssetPairId,FxToAssetPairDirection,AdditionalInfo,ForceOpen,CorrelationId
4876663,190OZVDJ0M,NULL,637996036987581612,CFD_EU_STOXX50E,Short,-1,202198019,Default,EUR,NULL,STP,2022-10-12 15:09:34.880,190OZVDJ0M,3338.1,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,3340.1,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2,0,Open,NULL,2022-10-12 15:09:34.880,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""500338865"",""SessionId"":""00000404"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_EU_STOXX50E-227a5c69471c4896b0a0bb1b4b5f3e7f
4878300,1R8YUCPUOC,NULL,637996036987583720,CFD_DE_DAX,Long,1,202165107,Default,EUR,NULL,STP,2022-10-12 19:50:32.347,1R8YUCPUOC,12169.89,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12167.89,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2,0,Open,NULL,2022-10-12 19:50:32.350,Market,1,SymmetricAssetPair,Straight,"{""CreatedBy"":""500933105"",""SessionId"":""00000404"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_DAX-074ac534422243eab7a5902c881478bf
4852533,268DJ3N0FJ,NULL,637996036987550781,CFD_DE_MINIDAX,Long,1,202194226,Default,EUR,NULL,STP,2022-10-07 12:36:30.380,268DJ3N0FJ,1244.49,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,1244.14,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-0.35,0,Open,NULL,2022-10-07 12:36:30.380,Market,1,SymmetricAssetPair,Straight,"{""CreatedBy"":""500572398"",""SessionId"":""00000404"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_MINIDAX-057ec85528ef473ea3cbb3790d1d2676
4875026,36CBR4CJPM,NULL,637996036987579492,CFD_US_MININDX,Long,1,202148715,Default,EUR,NULL,STP,2022-10-12 12:36:29.080,36CBR4CJPM,1080.91,1.03154463493635,EUR,1.03154463493635,[],Default,Investor,StarWarrant,0,0,0,0,NULL,1080.59,1.03154463493635,0,NULL,NULL,NULL,None,NULL,[],NULL,-0.33,0,Open,NULL,2022-10-12 12:36:29.080,Market,1,EURUSD,Reverse,"{""CreatedBy"":""756009116"",""SessionId"":""-801686885"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_US_MININDX-772a8689b6eb4f8685a11c2994ba773b
4878240,4D9BHTWV7T,NULL,637996036987583647,CFD_US_MININDX,Long,3,202174538,Default,EUR,NULL,STP,2022-10-12 19:34:39.453,4D9BHTWV7T,1082.67,1.03083219082766,EUR,1.03083219082766,[],Default,Investor,StarWarrant,0,0,0,0,NULL,1082.37,1.03083219082766,0,NULL,NULL,NULL,None,NULL,[],NULL,-0.93,0,Open,NULL,2022-10-12 19:34:39.457,Market,3,EURUSD,Reverse,"{""CreatedBy"":""502621765"",""SessionId"":""00000404"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":true,""PlacedViaClosePosition"":false}",0,orders-post-CFD_US_MININDX-1e258a3e0cc64aff8d01b52d0aee137d
4875572,5AJRRSXEA4,NULL,637996036987580193,CFD_DE_DAX,Short,-1,202187965,Default,EUR,NULL,STP,2022-10-12 13:34:30.857,5AJRRSXEA4,12154.91,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12158.91,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-4,0,Open,NULL,2022-10-12 13:34:30.860,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""758213630"",""SessionId"":""-427922458"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_DE_DAX-51531c9a68a34fb0a18000f7850945a7
4875756,83RRIOVDHK,NULL,637996036987579900,CFD_DE_MINIDAX,Short,-5,202140115,Default,EUR,1221.39,STP,2022-10-12 13:44:37.540,83RRIOVDHK,1221.71,1,EUR,1,"[{""Type"":""TakeProfit"",""Id"":""DX5KIYMBF9""}]",Default,Investor,StarWarrant,0,0,0,0,NULL,1222.11,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2,0,Open,NULL,2022-10-12 13:44:37.540,Limit,-5,SymmetricAssetPair,Straight,"{""CreatedBy"":""754416269"",""SessionId"":""-13455683"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":true,""PlacedViaClosePosition"":false}",1,pump-CFD_DE_MINIDAX-625c9dd5767c451188fb7821b8aa22df
4878341,9G25VMVYZC,NULL,637996036987583764,CFD_DE_DAX,Short,-1,202152976,Default,EUR,NULL,STP,2022-10-12 19:57:13.050,9G25VMVYZC,12165.89,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12167.89,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2,0,Open,NULL,2022-10-12 19:57:13.050,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""500832603"",""SessionId"":""-1359944620"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_DAX-546b3b45443941a0984767eaaac5ff71
4874985,9I5UM504G3,NULL,637996036987579442,CFD_DE_DAX,Short,-2,202151025,Default,EUR,NULL,STP,2022-10-12 12:34:23.463,9I5UM504G3,12168.39,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12170.39,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-4,0,Open,NULL,2022-10-12 12:34:23.463,Market,-2,SymmetricAssetPair,Straight,"{""CreatedBy"":""756209356"",""SessionId"":""00000404"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_DAX-edba67211b304538bc32e4caa77a1b12
4877472,ASQI3KNVR5,NULL,637996036987582689,CFD_DE_MINIDAX,Short,-1,202203911,Default,EUR,NULL,STP,2022-10-12 17:31:45.747,ASQI3KNVR5,1218.02,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,1218.42,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-0.4,0,Open,NULL,2022-10-12 17:31:45.747,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""758341198"",""SessionId"":""00000404"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_DE_MINIDAX-3a6b7ed50e164eb59dc7220a51735238
4878420,DITFTN28FH,NULL,638012139935096307,CFD_DE_DAX,Short,-1,202151025,Default,EUR,NULL,STP,2022-10-13 04:42:04.057,DITFTN28FH,12143.17,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12147.17,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-4,0,Open,NULL,2022-10-13 04:42:04.057,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""756209356"",""SessionId"":""1945008308"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_DAX-2d17a34fc08049f58b2f55ec432b9998
4878216,DTDG88RAG9,NULL,637996036987583620,CFD_US_WTINov22,Short,-1,202152110,Default,EUR,NULL,STP,2022-10-12 19:29:00.787,DTDG88RAG9,87.16,1.03077906281568,EUR,1.03077906281568,[],Default,Investor,StarWarrant,0,0,0,0,NULL,87.2,1.03077906281568,0,NULL,NULL,NULL,None,NULL,[],NULL,-0.04,0,Open,NULL,2022-10-12 19:29:00.790,Market,-1,EURUSD,Reverse,"{""CreatedBy"":""268482595"",""SessionId"":""00000404"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_US_WTINov22-d86125cff37a403597ec1127aa3b5c8c
4875592,E5TQX347LF,NULL,637996036987580222,CFD_DE_DAX,Short,-1,202187965,Default,EUR,NULL,STP,2022-10-12 13:35:11.660,E5TQX347LF,12159.9,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12162.4,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2.5,0,Open,NULL,2022-10-12 13:35:11.660,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""758213630"",""SessionId"":""-427922458"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_DE_DAX-14ea3577fdb24b5ba22fd122fe7ed4e0
4875573,EVAT8YTVI9,NULL,637996036987580195,CFD_DE_DAX,Short,-1,202187965,Default,EUR,NULL,STP,2022-10-12 13:34:32.173,EVAT8YTVI9,12153.41,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12155.91,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2.5,0,Open,NULL,2022-10-12 13:34:32.173,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""758213630"",""SessionId"":""-427922458"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_DE_DAX-e680619ac155414bace8c28f02c36614
4874171,F2S9YRGXZ6,NULL,637996036987578309,CFD_DE_MINIDAX,Long,2,202169024,Default,EUR,NULL,STP,2022-10-12 10:23:05.087,F2S9YRGXZ6,1224.71,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,1224.41,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-0.6,0,Open,NULL,2022-10-12 10:23:05.087,Market,2,SymmetricAssetPair,Straight,"{""CreatedBy"":""753734616"",""SessionId"":""00000404"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_MINIDAX-bc870f0222d341c497a6dddf7cc291bc
4875585,F8WRC65AUD,NULL,637996036987580213,CFD_DE_DAX,Short,-1,202187965,Default,EUR,NULL,STP,2022-10-12 13:34:59.263,F8WRC65AUD,12153.91,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12156.41,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2.5,0,Open,NULL,2022-10-12 13:34:59.263,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""758213630"",""SessionId"":""-427922458"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_DE_DAX-8147506500794dfeb6c0304b735e319d
4878399,FKIS9KGFMC,NULL,638012139935096263,CFD_DE_DAX,Short,-1,202152976,Default,EUR,NULL,STP,2022-10-13 02:51:04.183,FKIS9KGFMC,12148.66,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12152.66,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-4,0,Open,NULL,2022-10-13 02:51:04.183,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""500832603"",""SessionId"":""2117562040"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_DAX-5f20c5a39da0420abd32db13724c8080
4875886,G9QSV1MTYB,NULL,637996036987580599,CFD_DE_MINIDAX,Short,-1,202187288,Default,EUR,NULL,STP,2022-10-12 13:59:21.603,G9QSV1MTYB,1220.36,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,1220.76,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-0.4,0,Open,NULL,2022-10-12 13:59:21.607,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""758135816"",""SessionId"":""00000404"",""GuiFlag"":1,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",1,orders-post-CFD_DE_MINIDAX-91a7c084e060409fb7dea3174a0be384
4877418,GJO0ROSMUE,NULL,637996036987582615,CFD_DE_DAX,Short,-1,202152976,Default,EUR,NULL,STP,2022-10-12 17:14:42.460,GJO0ROSMUE,12197.35,1,EUR,1,[],Default,Investor,StarWarrant,0,0,0,0,NULL,12199.35,1,0,NULL,NULL,NULL,None,NULL,[],NULL,-2,0,Open,NULL,2022-10-12 17:14:42.460,Market,-1,SymmetricAssetPair,Straight,"{""CreatedBy"":""500832603"",""SessionId"":""430273783"",""GuiFlag"":0,""IsOnBehalf"":false,""WithOnBehalfFees"":false,""UserComments"":"""",""PlacedViaBulkOperation"":false,""PlacedWithParentOrder"":false,""PlacedViaClosePosition"":false}",0,orders-post-CFD_DE_DAX-1f418db6b3f84e18b9f690217a75e7a7
